length,epsilon,gamma,alpha,target,optimal_credit_lp,claimed_gamma,worst_case_queries,two_to_length,theorem55_reduction_factor
1,0.0,0.2,0.05,0,0.19999999999999984,0.2,2,2,0.008048592087636895
1,0.0,0.2,0.05,1,0.19999999999999984,0.2,2,2,0.008048592087636895
1,0.0,0.4,0.1,0,0.40000000000000013,0.4,2,2,0.03219436835054758
1,0.0,0.4,0.1,1,0.40000000000000013,0.4,2,2,0.03219436835054758
1,0.0,0.7,0.175,0,0.7,0.7,2,2,0.09859525307355192
1,0.0,0.7,0.175,1,0.7,0.7,2,2,0.09859525307355192
1,0.3,0.2,0.05,0,0.19999999999999996,0.2,2,2,0.008048592087636895
1,0.3,0.2,0.05,1,0.19999999999999996,0.2,2,2,0.008048592087636895
1,0.3,0.4,0.1,0,0.3999999999999999,0.4,2,2,0.03219436835054758
1,0.3,0.4,0.1,1,0.3999999999999999,0.4,2,2,0.03219436835054758
1,0.3,0.7,0.175,0,0.7,0.7,2,2,0.09859525307355192
1,0.3,0.7,0.175,1,0.7,0.7,2,2,0.09859525307355192
1,1.0,0.2,0.05,0,0.19999999999999996,0.2,2,2,0.008048592087636895
1,1.0,0.2,0.05,1,0.19999999999999996,0.2,2,2,0.008048592087636895
1,1.0,0.4,0.1,0,0.4,0.4,2,2,0.03219436835054758
1,1.0,0.4,0.1,1,0.4,0.4,2,2,0.03219436835054758
1,1.0,0.7,0.175,0,0.7,0.7,2,2,0.09859525307355192
1,1.0,0.7,0.175,1,0.7,0.7,2,2,0.09859525307355192
1,2.0,0.2,0.05,0,0.19999999999999984,0.2,2,2,0.008048592087636895
1,2.0,0.2,0.05,1,0.19999999999999984,0.2,2,2,0.008048592087636895
1,2.0,0.4,0.1,0,0.3999999999999999,0.4,2,2,0.03219436835054758
1,2.0,0.4,0.1,1,0.3999999999999999,0.4,2,2,0.03219436835054758
1,2.0,0.7,0.175,0,0.7,0.7,2,2,0.09859525307355192
1,2.0,0.7,0.175,1,0.7,0.7,2,2,0.09859525307355192
2,0.0,0.2,0.05,00,0.19999999999999996,0.2,4,4,0.006293159608882499
2,0.0,0.2,0.05,01,0.19999999999999996,0.2,4,4,0.006293159608882499
2,0.0,0.2,0.05,10,0.19999999999999996,0.2,4,4,0.006293159608882499
2,0.0,0.2,0.05,11,0.19999999999999996,0.2,4,4,0.006293159608882499
2,0.0,0.4,0.1,00,0.4,0.4,4,4,0.025172638435529995
2,0.0,0.4,0.1,01,0.4,0.4,4,4,0.025172638435529995
2,0.0,0.4,0.1,10,0.4,0.4,4,4,0.025172638435529995
2,0.0,0.4,0.1,11,0.4,0.4,4,4,0.025172638435529995
2,0.0,0.7,0.175,00,0.7,0.7,4,4,0.07709120520881058
2,0.0,0.7,0.175,01,0.7,0.7,4,4,0.07709120520881058
2,0.0,0.7,0.175,10,0.7,0.7,4,4,0.07709120520881058
2,0.0,0.7,0.175,11,0.7,0.7,4,4,0.07709120520881058
2,0.3,0.2,0.05,00,0.19999999999999996,0.2,4,4,0.006293159608882499
